Ticker,Date,Close,Resistance,Resistance_Distance_%,Close_Position,Daily_Range_%,Range_Ratio,Volume_Ratio,Volume_Surge_10,Momentum_5d_%,Momentum_10d_%,Momentum_20d_%,MA_Ratio,Distance_MA10_%,Distance_MA30_%,ATR_Pct,Volatility_10d,Price_Range_10d_%,RSI_14,Breakout_Pct,Label,Days_Above_5d,Avg_Close_5d,Return_5d_%,Return_30d_%,Max_Gain_30d_%,Max_Drawdown_30d_%,Pct_Days_Above_30d,Continued_Up_30d
AAPL,2004-10-14,0.6727,0.6121,9.89,0.759,7.11,2.9,6.75,5.48,13.53,16.08,23.74,1.046,14.88,20.14,3.06,0.0202,7.29,80.64,9.89,breakout,5,0.7061,6.58,43.51,43.51,1.16,100.0,True
AAPL,2004-10-18,0.7141,0.6842,4.37,1.0,6.39,2.06,2.37,1.51,23.74,23.1,26.62,1.063,18.02,25.42,3.26,0.045,16.96,83.32,4.37,breakout,5,0.7112,-0.42,40.42,43.33,-0.71,100.0,True
AAPL,2004-10-27,0.7522,0.7231,4.03,0.869,4.87,1.61,2.02,1.22,5.96,26.54,30.04,1.135,8.47,23.12,3.24,0.0424,19.11,85.46,4.03,breakout,5,0.7951,9.96,27.22,36.06,3.76,100.0,True
AAPL,2004-10-28,0.7805,0.757,3.1,0.989,5.21,1.6,1.39,0.88,8.87,16.03,34.68,1.147,10.04,26.19,3.37,0.0429,15.46,90.05,3.1,breakout,5,0.8019,4.33,24.83,31.14,0.4,100.0,True
AAPL,2005-01-31,1.15,1.1129,3.33,0.707,4.4,1.72,1.62,1.83,8.68,9.54,19.41,1.062,7.8,14.52,3.61,0.0084,8.1,71.72,3.33,breakout,5,1.1747,2.65,6.53,17.2,0.82,100.0,True
AAPL,2005-02-15,1.3222,1.268,4.27,0.782,3.48,1.19,1.99,2.52,9.28,14.03,25.14,1.096,10.99,21.6,2.95,0.0235,9.29,82.48,4.27,breakout,5,1.3108,-0.2,-5.73,1.95,-10.98,63.3,False
AAPL,2005-02-16,1.3479,1.3322,1.18,0.975,3.16,1.01,1.35,1.52,14.47,13.19,28.98,1.098,11.62,22.55,3.01,0.0259,13.78,83.37,1.18,fakeout,0,1.3073,-1.33,-9.26,-0.45,-12.68,3.3,False
AAPL,2005-07-19,1.2918,1.2592,2.59,0.981,5.0,1.96,1.25,1.06,12.94,13.72,14.84,1.03,10.82,14.19,2.77,0.0231,12.97,79.46,2.59,breakout,5,1.3062,1.02,7.83,10.4,-1.25,100.0,True
AAPL,2005-08-12,1.3788,1.3277,3.85,0.958,6.2,2.63,2.1,2.92,7.23,8.09,10.95,1.04,6.87,11.2,2.53,0.0153,5.14,64.48,3.85,breakout,5,1.395,-0.59,16.79,16.79,-0.78,100.0,True
AAPL,2005-09-19,1.5744,1.5442,1.96,0.864,3.5,1.35,1.64,1.36,2.41,13.89,14.86,1.06,5.77,12.11,2.51,0.0234,10.47,78.43,1.96,breakout,5,1.5807,2.28,9.4,9.4,-6.44,83.3,True
AAPL,2005-10-20,1.6791,1.6555,1.43,0.833,3.83,0.88,1.8,1.23,4.47,8.59,8.17,1.002,7.44,7.63,3.89,0.0407,12.63,56.68,1.43,breakout,5,1.6809,-1.3,29.37,29.37,-2.97,96.7,True
AAPL,2005-12-02,2.1723,2.1454,1.25,0.946,2.81,1.01,1.33,1.39,4.74,12.57,17.43,1.09,7.73,17.43,2.75,0.0223,11.03,85.07,1.25,breakout,5,2.2027,2.34,13.58,17.84,-2.09,90.0,True
AAPL,2006-01-10,2.4185,2.309,4.74,0.83,7.49,3.29,3.56,4.08,8.17,10.24,8.79,1.018,9.13,11.04,2.46,0.0195,8.48,76.25,4.74,breakout,5,2.5183,2.02,-11.27,5.85,-19.97,23.3,False
AAPL,2006-09-05,2.1379,2.0937,2.11,0.993,4.13,1.74,1.33,1.64,6.72,7.39,6.35,1.018,5.94,7.8,2.44,0.0146,5.5,68.4,2.11,breakout,5,2.1564,1.61,3.93,8.58,-2.03,100.0,True
AAPL,2006-09-07,2.1774,2.1442,1.55,0.789,4.44,1.69,1.62,1.79,8.72,8.16,14.48,1.019,6.74,8.8,2.62,0.02,9.02,66.31,1.55,breakout,5,2.1895,1.88,8.5,8.5,-0.41,100.0,True
AAPL,2007-01-10,2.9012,2.7864,4.12,0.816,4.48,1.25,3.1,2.4,15.75,18.0,9.9,0.966,15.0,11.14,3.47,0.0315,16.71,72.41,4.12,breakout,4,2.8207,-8.18,-8.18,0.1,-14.15,13.3,False
AAPL,2007-03-26,2.8668,2.8223,1.58,0.981,2.71,1.62,1.23,1.35,5.18,6.65,8.29,1.035,5.17,8.88,1.66,0.0138,6.72,78.71,1.58,fakeout,1,2.8056,-2.3,9.61,9.61,-5.85,43.3,True
AAPL,2007-05-07,3.1082,3.0657,1.39,0.871,3.21,1.4,1.29,1.07,4.13,11.13,10.97,1.037,5.85,9.78,2.3,0.0141,10.78,94.43,1.39,breakout,5,3.2146,5.23,19.0,20.37,1.1,100.0,True
AAPL,2007-05-30,3.5524,3.4396,3.28,0.979,4.5,1.79,1.94,1.91,4.61,10.46,19.4,1.077,6.87,15.07,2.49,0.0155,9.75,77.48,3.28,breakout,5,3.6324,4.1,12.88,12.88,-1.07,100.0,True
AAPL,2007-07-05,3.9705,3.8168,4.03,0.949,3.22,1.13,1.37,1.48,8.91,9.21,7.37,1.017,8.51,10.35,2.71,0.0215,6.54,70.71,4.03,breakout,5,3.9567,0.99,-11.83,9.98,-11.83,83.3,False
AAPL,2009-09-16,5.4397,5.2536,3.54,0.819,2.68,1.48,1.89,1.79,6.27,10.02,10.9,1.017,6.67,8.46,2.07,0.0119,6.35,75.3,3.54,breakout,5,5.5247,2.0,5.79,12.83,-0.56,100.0,True
AAPL,2010-03-05,6.5487,6.392,2.45,0.852,2.32,1.34,1.27,1.85,7.0,8.57,14.01,1.017,7.1,8.95,1.81,0.0118,6.95,78.76,2.45,breakout,5,6.694,3.49,12.84,13.69,0.06,100.0,True
AAPL,2010-03-09,6.6704,6.5828,1.33,0.722,3.19,1.8,1.31,1.71,6.78,13.17,14.89,1.03,7.21,10.38,1.85,0.0151,10.93,81.5,1.33,breakout,5,6.731,0.64,16.23,16.23,-0.35,100.0,True
AAPL,2010-04-21,7.7532,7.5115,3.22,0.772,1.74,1.21,1.88,1.96,5.51,7.74,13.51,1.043,6.21,10.82,1.82,0.0077,5.05,85.43,3.22,breakout,5,7.9586,0.92,1.5,4.48,-9.01,73.3,True
AAPL,2010-04-22,7.97,7.784,2.39,0.973,3.96,2.67,1.51,1.48,7.05,11.05,16.17,1.046,8.35,13.34,1.9,0.0199,8.33,87.69,2.39,breakout,5,7.9716,0.81,-3.94,1.64,-11.49,36.7,False
