Date,Close,High,Low,Open,Volume
2000-01-03,11.079048156738281,11.25283681586763,10.9921534777977,11.144218641879858,12873345
2000-01-04,10.666299819946289,10.948707374693983,10.42733995756463,10.86181268871378,14208974
2000-01-05,10.840089797973633,11.079049673715483,10.709748111091887,10.731471609113527,12981591
2000-01-06,11.231108665466309,11.383173766516675,10.840083820443288,10.86180730648598,11115273
2000-01-07,11.991435050964355,12.121775961598185,11.231108181006583,11.817645772616268,17962163
2000-01-10,11.969717979431152,12.16523155780919,11.839376991349607,12.16523155780919,10413731
2000-01-11,11.81765079498291,12.165229499396066,11.81765079498291,11.904544772334411,9747076
2000-01-12,12.2086763381958,12.27384751916116,11.969715807157334,11.991439999980306,11423252
2000-01-13,12.86038589477539,12.90383428697366,12.034888803068593,12.143506988556727,27705866
2000-01-14,12.86038589477539,13.077622265751657,12.86038589477539,13.012452472461794,17055828
2000-01-18,12.686594009399414,12.947277294797667,12.447633515907402,12.903830313481848,11459615
2000-01-19,12.86038589477539,12.882110090874525,12.62142672520376,12.773491905386392,10596389
2000-01-20,12.648577690124512,12.816934916932912,12.447633480542658,12.773487935740528,8411342
2000-01-21,12.1869478225708,12.708314290353956,12.165225034956622,12.708314290353956,13022802
2000-01-24,11.947991371154785,12.252121643892266,11.600412718737635,12.165227679539662,13734463
2000-01-25,12.121782302856445,12.317295867340516,11.926270135876088,11.991441324037444,9903595
2000-01-26,12.121782302856445,12.165230693299826,11.947994331097778,12.100059505138468,7728771
2000-01-27,11.991435050964355,12.317289423803402,11.991435050964355,12.013157837318502,9058708
2000-01-28,12.230400085449219,12.404189449048948,11.774204578191556,11.9914409333153,11834628
2000-01-31,12.577978134155273,12.68659630585796,11.817650932236468,11.817650932236468,10634544
2000-02-01,12.86038589477539,12.925557085569025,12.339019163433859,12.360743359532993,12345713
2000-02-02,12.512805938720703,12.860383221530746,12.425911967394061,12.838660427450826,7527141
2000-02-03,12.382464408874512,12.730043112336077,12.27384763623429,12.534530965078678,9268876
2000-02-04,12.425914764404297,12.556255750733351,12.273849581601835,12.556255750733351,6965991
2000-02-07,12.86038589477539,12.86038589477539,12.360743359532993,12.469361545021126,13399924
2000-02-08,13.14278507232666,13.1862320393049,12.81693072373556,12.882101872954356,16190178
2000-02-09,12.556253433227539,13.099344269786558,12.556253433227539,13.077620077322784,11812389
2000-02-10,12.165229797363281,12.686596469249453,12.165229797363281,12.686596469249453,11148685
2000-02-11,12.165229797363281,12.360741949944694,11.81765108443676,12.360741949944694,10721288
2000-02-14,12.165229797363281,12.273847970464868,11.66558592159526,11.66558592159526,8846644
2000-02-15,12.360737800598145,12.46935593723797,12.078330365833974,12.186948502473799,8255666
2000-02-16,11.760519981384277,12.217872913527305,11.760519981384277,12.19609500307248,10407091
2000-02-17,11.847635269165039,11.978308345398581,11.716962893456204,11.891192494226416,8953835
2000-02-18,11.847635269165039,11.847635269165039,11.455618142038531,11.847635269165039,10871061
