Date,Close,High,Low,Open,Volume
2000-01-03,5.140444755554199,5.1703314270956175,5.0627407229095995,5.080672142117522,3431200
2000-01-04,5.074695110321045,5.188262708000285,5.062740587952381,5.104581051419635,5997600
2000-01-05,5.062741279602051,5.182286519620443,5.032854604774332,5.080672700781689,10562400
2000-01-06,5.248038291931152,5.307810937625129,5.056765825710427,5.068720354849222,15300000
2000-01-07,5.8636956214904785,5.881627046443023,5.43930956530808,5.499082197893883,16160800
2000-01-10,5.762082099914551,5.917490953231748,5.7202416196139065,5.911514054465842,9336000
2000-01-11,5.77403450012207,5.863693785754502,5.612648807488325,5.642534749601692,9988000
2000-01-12,5.720240592956543,5.8338082159437725,5.690353915551713,5.726217490649727,6378400
2000-01-13,5.899559020996094,5.923468073300746,5.720241128711203,5.750127079268832,6981600
2000-01-14,5.893581867218018,6.007150239624541,5.881627340103985,5.929445448560115,9292800
2000-01-18,5.642536640167236,5.833809068647482,5.570809479487145,5.76208190796739,5514400
2000-01-19,5.690352916717529,5.78001220354772,5.594716733243285,5.594716733243285,7730400
2000-01-20,5.8338093757629395,5.8338093757629395,5.594718827575933,5.690355046850736,8457600
2000-01-21,5.582762718200684,5.833807722659387,5.522990098091468,5.833807722659387,12880800
2000-01-24,5.277923107147217,5.552877179793771,5.218150482658835,5.487126928033404,9503200
2000-01-25,5.277923107147217,5.373559306328627,5.218150482658835,5.30780905456826,8416000
2000-01-26,5.265968322753906,5.3855135658397355,5.212172598542153,5.212172598542153,8797600
2000-01-27,5.182286262512207,5.289876973190874,5.152399589167254,5.265967926373392,9053600
2000-01-28,5.0328545570373535,5.22412693925255,4.996990985372004,4.996990985372004,12754400
2000-01-31,5.068716526031494,5.2838978879856615,5.026876070474518,5.0328529657058,4790400
2000-02-01,5.206197261810303,5.301833484946689,5.080674354120556,5.116537937796701,3984000
2000-02-02,5.343672752380371,5.403445378245923,5.248036550995487,5.248036550995487,6660000
2000-02-03,5.295853614807129,5.355626228969737,5.265967672548909,5.295853614807129,13720800
2000-02-04,5.427351474761963,5.4333290989183585,5.3197608067600735,5.3197608067600735,7199200
2000-02-07,5.564830780029297,5.5947167224844385,5.337694844714758,5.355626264258608,11616800
2000-02-08,5.355626583099365,5.463217295706272,5.331717535853386,5.355626583099365,8325600
2000-02-09,5.158378601074219,5.421378186699995,5.140446446321988,5.403446031947764,7526400
2000-02-10,5.534945487976074,5.78001363358437,5.457241434501531,5.534945487976074,20888000
2000-02-11,5.355626583099365,5.654489673674107,5.343672059476376,5.463217295706272,18896000
2000-02-14,5.43930721282959,5.499079819563981,5.391489127442077,5.415398170135833,7276000
2000-02-15,5.678399562835693,5.875649596683675,5.5708088342767015,5.582763359672145,16885600
2000-02-16,5.8636956214904785,5.977263258580307,5.672423197215909,5.70828677676739,16412800
2000-02-17,6.01312780380249,6.186469195785256,5.917491576306626,5.929446104743609,12419200
2000-02-18,5.534945487976074,5.977262945978482,5.47517285851629,5.941399368302611,15170400
2000-02-22,5.624602794647217,5.702306820459359,5.517012099921569,5.546898039188979,5828800
