Date,Close,High,Low,Open,Volume
2000-01-03,6.373610496520996,6.530869391210193,6.355109450086973,6.530869391210193,4101200
2000-01-04,6.364358901977539,6.4198620319366455,6.308855772018433,6.37360942363739,4865200
2000-01-05,6.364358901977539,6.475365161895752,6.355108380317688,6.364358901977539,3579600
2000-01-06,6.752877235412598,6.808380335977633,6.3643555314573526,6.3643555314573526,6216000
2000-01-07,6.7066216468811035,6.76212472257943,6.6048660081008395,6.752874209963043,3256000
2000-01-10,6.8638834953308105,6.919386596371222,6.734376259569853,6.863883495330811,4311600
2000-01-11,6.919384479522705,6.984138077593104,6.845380367442248,6.845380367442248,2384000
2000-01-12,6.7806291580200195,6.928637434320593,6.752877606213662,6.882384847976664,2298800
2000-01-13,6.900888442993164,7.048896774210176,6.7158780289719,6.780631673879342,3092400
2000-01-14,6.817630767822266,6.947138000860951,6.762127667948542,6.91938645092409,2435600
2000-01-18,6.567864894866943,6.789877229341318,6.549363866994078,6.743624659659157,2967600
2000-01-19,6.456860065460205,6.466110581313299,6.253348716692118,6.382855938635446,5771600
2000-01-20,6.2163496017456055,6.632623012576784,6.049840237413133,6.549368330410548,8070800
2000-01-21,6.475363254547119,6.54011688709259,6.290352875845772,6.29960339478084,5105200
2000-01-24,6.281101226806641,6.549366227656998,6.271850709535939,6.484612606762084,3004000
2000-01-25,6.059089660644531,6.318104180488878,5.920331882156489,6.2811021062254,5056800
2000-01-26,6.188598155975342,6.188598155975342,5.9110825435997665,6.068341390612592,3849200
2000-01-27,5.957337379455566,6.216352048127547,5.929585807812139,6.216352048127547,3670400
2000-01-28,6.0128326416015625,6.114588270920973,5.883325477013221,5.966580082820012,3590400
2000-01-31,5.957337379455566,6.086844713791557,5.892583712287571,6.01284052274242,3682400
2000-02-01,5.9665846824646,5.975835201352141,5.846327936926554,5.920332088026889,2813200
2000-02-02,5.73532247543335,5.95733495835335,5.716821435190016,5.938833918110016,4220400
2000-02-03,5.818578243255615,5.8555803306531065,5.77232563400875,5.809327721406242,3600800
2000-02-04,5.9665846824646,6.049839352452477,5.874079493589179,5.883330012476722,4637200
2000-02-07,5.874078273773193,5.994334994338629,5.846326722873478,5.957332926472341,2911200
2000-02-08,5.73532247543335,5.920332877866683,5.716821435190016,5.911082357745016,3675200
2000-02-09,5.763072967529297,6.012836964516923,5.744571930715399,5.8093255595640425,4865600
2000-02-10,5.485557556152344,5.763073115485514,5.309797701908002,5.763073115485514,8339600
2000-02-11,5.439304828643799,5.531810012804408,5.420803791811678,5.4948079391401645,3565600
2000-02-14,5.624314308166504,5.624314308166504,5.457805002990522,5.513308104715849,4377600
2000-02-15,5.744569778442383,5.744569778442383,5.587311024443155,5.698317203736727,7250800
2000-02-16,5.531809329986572,5.827825882761773,5.476306226341221,5.772322779116423,5134400
2000-02-17,5.605813026428223,5.624314059518745,5.439303728613523,5.550309927156656,3093600
2000-02-18,5.587311744689941,5.661315873758682,5.541059164021978,5.6243138092243115,3406800
2000-02-22,5.744569778442383,5.8278244129125625,5.605812054325417,5.615062569266548,3113200
2000-02-23,5.818578243255615,5.837079286954361,5.735323546611258,5.744574068460631,4042800
2000-02-24,5.513309478759766,5.855578691367334,5.36530117060514,5.84632817210767,7104800
2000-02-25,5.541059494018555,5.55031001070306,5.411552260435484,5.51330794396504,3038000
2000-02-28,5.698317527770996,5.735319589639639,5.448553610157657,5.541058764829264,3203200
2000-02-29,5.624314308166504,5.74457102857138,5.6150637912122825,5.689067926846052,3417200
2000-03-01,5.661317348480225,5.716820459739835,5.624315274307151,5.6428163113936884,6612000
2000-03-02,5.596563816070557,5.65206692829605,5.531810185140815,5.65206692829605,3593200
2000-03-03,5.827826499938965,5.920331682477679,5.559561470576695,5.587313025338309,5631600
2000-03-06,5.587311744689941,5.790823099628979,5.522558131754793,5.790823099628979,3090000
2000-03-07,5.328299522399902,5.550312002499898,5.282046922379069,5.5133099224832325,5256400
2000-03-08,5.3745527267456055,5.485558979277356,5.365302205701293,5.402304289878543,4718000
2000-03-09,5.31904935836792,5.402304043977157,5.115537904656452,5.402304043977157,6275600
2000-03-10,5.189540386199951,5.365300221026687,5.161788833332571,5.282045562424549,6513200
2000-03-13,5.247220993041992,5.247220993041992,5.098363659906049,5.20070307643701,3582000
2000-03-14,5.247220993041992,5.284435326325978,5.1913994931160135,5.284435326325978,3457200
2000-03-15,5.563544750213623,5.563544750213623,5.228615634816148,5.228615634816148,3905200
2000-03-16,5.9263811111450195,5.9263811111450195,5.535630708212381,5.6286665184344375,7003200
2000-03-17,5.991513729095459,6.047335285577716,5.917084987119118,5.9542993581072885,4546800
2000-03-20,5.693795204162598,6.05663509462394,5.610062921748442,6.019420746884315,4032400
2000-03-21,5.954296588897705,5.97290376573801,5.619367405772209,5.619367405772209,4837600
2000-03-22,5.7496137619018555,6.019417643932849,5.703095851206856,5.991506897515849,3949600
2000-03-23,5.758918285369873,5.768221869029598,5.600757363154545,5.6565788651128965,2982000
2000-03-24,5.6751885414123535,5.7868315946860385,5.61936701477551,5.740313655822003,2878000
2000-03-27,5.758918285369873,5.786829036349049,5.6565788651128965,5.6565788651128965,2232800
2000-03-28,5.535632133483887,5.758918135506766,5.507721383231027,5.712400218418666,3300400
2000-03-29,5.637973308563232,5.637973308563232,5.507723100114577,5.53563385906786,3122400
2000-03-30,5.535632133483887,5.6565787179129465,5.507721383231027,5.6565787179129465,2840400
2000-03-31,5.824046611785889,5.824046611785889,5.544938946684328,5.5728497131944845,3893200
2000-04-03,5.768224239349365,5.824045764246295,5.749617064383722,5.824045764246295,4480000
2000-04-04,5.758918285369873,5.8519541219671245,5.59145377949482,5.786829036349049,3644400
2000-04-05,6.103149890899658,6.103149890899658,5.758917351321476,5.768220933472238,4744800
2000-04-06,6.140366077423096,6.307830606807362,6.08454456762834,6.103151737559926,5835600
2000-04-07,6.065939903259277,6.121761436111356,5.907778893511719,6.121761436111356,3235600
2000-04-10,6.19619083404541,6.298530322295409,6.019422627068138,6.028726216909048,3093200
2000-04-11,6.419473648071289,6.438080818065699,6.196187608138374,6.196187608138374,3586800
2000-04-12,6.521815299987793,6.559029652626811,6.317136360473198,6.419475830230495,5521600
2000-04-13,6.372958660125732,6.512512499398558,6.261315588707471,6.503208910113703,3427200
2000-04-14,6.112457275390625,6.354350561783557,6.065939335699676,6.354350561783557,3517600
