Date,Close,High,Low,Open,Volume
2000-01-03,34.64298629760742,35.34426132387478,33.20036338642886,35.24407917726516,53076000
2000-01-04,32.69944763183594,34.30236173143574,32.61930192685595,33.8214875015558,50805600
2000-01-05,32.59926223754883,33.500901328323074,31.176676116549466,32.07831520732371,68524000
2000-01-06,32.05827713012695,32.65936982631683,31.61747581958771,32.31875063180924,48242600
2000-01-07,33.94169998168945,33.98177282700432,31.857912025316548,31.857912025316548,62260600
2000-01-10,35.20399856567383,35.264107840401785,34.021849496024,34.783233642578125,50583000
2000-01-11,34.14204788208008,35.143868535896985,33.661173968247965,34.662994622064865,43210200
2000-01-12,33.2805061340332,34.46265535854131,33.18032399636303,34.26229108320095,40757800
2000-01-13,34.0418815612793,34.14206367299584,33.260461089890306,33.981772294249375,34494400
2000-01-14,34.48268127441406,35.02366465292027,33.661187995941674,34.70308191010177,43623000
2000-01-18,35.9052734375,36.065564836774556,34.38250514439174,34.46265084402902,59568600
2000-01-19,36.00545120239258,36.22585184970828,34.9635572332638,35.805086977560116,45597000
2000-01-20,36.02548599243164,36.90708854174587,35.72493966880179,36.34606873763681,41731200
2000-01-21,36.94715118408203,36.98722401616889,36.045512462127746,36.82693268782146,44974600
2000-01-24,34.96355056762695,37.10744736461039,34.783222799656386,37.10744736461039,43787800
2000-01-25,35.945350646972656,36.18578777504605,34.32240003247723,34.783237861284576,55379800
2000-01-26,34.36246871948242,35.82512773786272,34.302359444754465,35.72494561331613,35308800
2000-01-27,34.18212890625,35.46445965068142,33.26045368368992,34.88340353211093,47908600
2000-01-28,33.300533294677734,35.063738427007245,33.02002338726167,34.1620994388842,49564400
2000-01-31,35.10380172729492,35.14387456031695,32.058266417620935,32.99997799363855,66914600
2000-02-01,37.76865005493164,37.86883215056806,35.12384273013006,35.19397019707556,87263000
2000-02-02,36.5063591003418,37.74861720364652,36.22584920604719,37.227670257099376,68449200
2000-02-03,37.76865005493164,38.02912350358634,36.70671984118555,36.82693835594926,48675200
2000-02-04,38.83059310913086,39.271394475694784,38.02913607901464,38.329682465308224,52970000
2000-02-07,40.13294219970703,40.193051449132454,39.291412707751114,39.77228670315449,48933400
2000-02-08,40.33332061767578,41.03459544212618,39.65208221678111,40.99452259501473,72100800
2000-02-09,41.295074462890625,43.278680659798034,40.53369026609788,42.71766072531917,107807600
2000-02-10,43.5792236328125,43.67940575610632,41.2149255230783,41.87612753681753,64314000
2000-02-11,41.97631072998047,42.83787701226647,41.07467159735559,42.67758561091093,75471000
2000-02-14,41.83605194091797,42.61747245130868,40.693975810346934,42.61747245130868,49103800
2000-02-15,41.03458786010742,41.71582613512874,40.173021806403995,41.59560761600733,61367200
2000-02-16,40.76912307739258,41.51548004244129,40.63387718439717,40.994532899051585,46274000
2000-02-17,41.83605194091797,41.876124787604674,40.9143764671238,41.33514135733418,39656600
2000-02-18,40.33332061767578,41.936234502133836,40.25317492345288,41.89616165502239,41600000
2000-02-22,39.732234954833984,40.73405631022566,38.870668589197145,40.573764893363,61144400
2000-02-23,44.4407844543457,44.56100298758559,40.493609279636004,40.71400992390914,105707800
2000-02-24,43.99998092651367,44.16027229600917,42.47721291630646,43.99998092651367,74976000
2000-02-25,42.557369232177734,43.99999191801427,42.016385724989036,43.799627656092525,46451200
2000-02-28,41.8560791015625,42.69760869575379,40.91436741282461,41.921197463017776,52048400
2000-02-29,42.37704086303711,42.93806078935628,41.4403379503435,42.43214103437203,41688600
2000-03-01,42.21674728393555,43.39889635358538,41.67576381138393,42.53733008248466,39469400
2000-03-02,42.557369232177734,42.797806346483824,41.6557300535299,42.036422151181206,31939200
2000-03-03,44.060096740722656,44.54097092070325,42.918020563268726,43.11838480492731,38053800
2000-03-06,43.63932800292969,44.240420675146346,43.09834459793469,43.97994718385246,33787600
2000-03-07,42.33696365356445,44.18031465031217,41.91619875213291,44.16027822643448,42309600
2000-03-08,42.43714141845703,43.27867113497034,41.6757573892307,42.71765132396146,48042400
2000-03-09,44.66120147705078,44.87659309476199,42.35701207827965,42.91803210580654,67248600
2000-03-10,43.71947479248047,45.48268000867583,43.61929267792391,44.60107740057815,48013600
2000-03-13,43.65935516357422,44.8915948802148,42.95808052808771,43.27866321859583,47557200
2000-03-14,42.236778259277344,44.28049333633915,42.21674183695321,43.89980131218058,58617400
2000-03-15,41.23495101928711,43.27866579283778,40.593785600133955,42.797791728472916,62863600
2000-03-16,42.211727142333984,42.75771957837462,39.85243872604832,41.5956072374441,75486200
2000-03-17,43.27867126464844,43.57921759287516,41.99634026421441,41.99634026421441,53047600
2000-03-20,42.99817657470703,43.83970659154659,42.49726585039777,43.27868658032022,39242200
2000-03-21,45.157081604003906,45.32238206911008,42.61746536737274,43.11837586769447,57357400
2000-03-22,46.28413391113281,47.04551793218175,44.52092880975633,45.40253136044457,59111600
2000-03-23,49.89069366455078,50.61200489825513,46.163918957078316,46.885230190782664,76967200
2000-03-24,50.892513275146484,52.13477147320124,50.17120206337275,51.373387416328974,64910400
2000-03-27,51.33331298828125,52.57557114802888,50.69214748647602,52.21491555326344,47360000
2000-03-28,49.93076705932617,51.613826623123686,49.69032997878367,51.01273392176743,42658000
2000-03-29,48.76866149902344,50.48177594362759,48.08742300643231,49.97084707418424,54776100
2000-03-30,47.20584487915039,49.20948854974251,45.362492702205635,48.00730234738724,67081600
2000-03-31,49.57011795043945,49.89070076661045,46.324216936708176,47.67667569242954,53212600
2000-04-03,46.7650032043457,49.369737744433515,46.1639106181716,49.28959206627697,61832400
2000-04-04,46.885231018066406,47.76683365259415,41.034595352564104,47.446250876402246,10846100
2000-04-05,46.244075775146484,48.00728143728379,44.96174438450117,45.04189009641651,64975400
2000-04-06,46.043697357177734,47.606538259640686,45.3624590150785,47.36610119772331,43823900
2000-04-07,48.04733657836914,48.0874094195521,45.923475995672256,46.80507850169737,44893800
2000-04-10,46.52457046508789,48.72857681786983,46.48449762231004,48.36792123286915,42264200
2000-04-11,44.881587982177734,47.2458859205246,43.91983966827393,46.24406476020813,58865900
2000-04-12,41.675758361816406,45.32238721847534,41.51546698350173,44.721294549795296,94231500
2000-04-13,39.191246032714844,42.63751102127668,39.191246032714844,42.38705571687539,104047300
2000-04-14,36.54643249511719,39.15116726724725,35.30417437302439,39.03094873930279,14575300
2000-04-17,42.63750457763672,42.71765026293303,36.33605007121437,36.50635965246904,12074800
2000-04-18,44.400718688964844,44.5610100921741,42.95809606008151,43.67940737452317,80723900
2000-04-19,42.397064208984375,44.88158025903828,42.23677285091638,44.721288900970286,51863900
2000-04-20,41.75590515136719,43.39889182239027,41.3952495406548,42.79779913786963,36551400
